region,age,density
Western Europe,7.43257,0.0
Western Europe,7.41758,0.0
Western Europe,7.4026,0.0
Western Europe,7.38761,3e-05
Western Europe,7.37263,0.00051
Western Europe,7.35764,0.00364
Western Europe,7.34266,0.01338
Western Europe,7.32767,0.0276
Western Europe,7.31269,0.03734
Western Europe,7.2977,0.04048
Western Europe,7.28272,0.04095
Western Europe,7.26773,0.04098
Western Europe,7.25275,0.04098
Western Europe,7.23776,0.04099
Western Europe,7.22278,0.04109
Western Europe,7.20779,0.04171
Western Europe,7.19281,0.04366
Western Europe,7.17782,0.0465
Western Europe,7.16284,0.04846
Western Europe,7.14785,0.04918
Western Europe,7.13287,0.0499
Western Europe,7.11788,0.05186
Western Europe,7.1029,0.0547
Western Europe,7.08791,0.05665
Western Europe,7.07293,0.05728
Western Europe,7.05794,0.05737
Western Europe,7.04296,0.05738
Western Europe,7.02797,0.05748
Western Europe,7.01299,0.05811
Western Europe,6.998,0.06005
Western Europe,6.98302,0.0629
Western Europe,6.96803,0.06485
Western Europe,6.95305,0.06547
Western Europe,6.93806,0.06557
Western Europe,6.92308,0.06557
Western Europe,6.90809,0.06557
Western Europe,6.89311,0.06557
Western Europe,6.87812,0.06557
Western Europe,6.86314,0.06558
Western Europe,6.84815,0.06568
Western Europe,6.83317,0.0663
Western Europe,6.81818,0.06825
Western Europe,6.8032,0.07109
Western Europe,6.78821,0.07304
Western Europe,6.77323,0.07367
Western Europe,6.75824,0.07376
Western Europe,6.74326,0.07377
Western Europe,6.72827,0.07378
Western Europe,6.71329,0.07387
Western Europe,6.6983,0.0745
Western Europe,6.68332,0.07645
Western Europe,6.66833,0.07929
Western Europe,6.65335,0.08124
Western Europe,6.63836,0.08187
Western Europe,6.62338,0.08206
Western Europe,6.60839,0.0827
Western Europe,6.59341,0.08464
Western Europe,6.57842,0.08749
Western Europe,6.56344,0.08944
Western Europe,6.54845,0.09006
Western Europe,6.53347,0.09016
Western Europe,6.51848,0.09016
Western Europe,6.5035,0.09016
Western Europe,6.48851,0.09017
Western Europe,6.47353,0.09027
Western Europe,6.45854,0.09089
Western Europe,6.44356,0.09284
Western Europe,6.42857,0.09569
Western Europe,6.41359,0.09773
Western Europe,6.3986,0.09899
Western Europe,6.38362,0.10103
Western Europe,6.36863,0.10388
Western Europe,6.35365,0.10584
Western Europe,6.33866,0.10656
Western Europe,6.32368,0.10728
Western Europe,6.30869,0.10923
Western Europe,6.29371,0.11208
Western Europe,6.27872,0.11403
Western Europe,6.26374,0.11475
Western Europe,6.24875,0.11548
Western Europe,6.23377,0.11743
Western Europe,6.21878,0.12027
Western Europe,6.2038,0.12223
Western Europe,6.18881,0.12295
Western Europe,6.17383,0.12367
Western Europe,6.15884,0.12563
Western Europe,6.14386,0.12847
Western Europe,6.12887,0.13042
Western Europe,6.11389,0.13105
Western Europe,6.0989,0.13125
Western Europe,6.08392,0.13198
Western Europe,6.06893,0.13455
Western Europe,6.05395,0.13935
Western Europe,6.03896,0.14424
Western Europe,6.02398,0.14745
Western Europe,6.00899,0.15021
Western Europe,5.99401,0.15378
Western Europe,5.97902,0.15769
Western Europe,5.96404,0.16126
Western Europe,5.94905,0.16393
Western Europe,5.93407,0.16652
Western Europe,5.91908,0.16955
Western Europe,5.9041,0.17214
Western Europe,5.88911,0.17481
Western Europe,5.87413,0.17837
Western Europe,5.85914,0.18228
Western Europe,5.84416,0.18585
Western Europe,5.82917,0.18852
Western Europe,5.81419,0.1911
Western Europe,5.7992,0.19404
Western Europe,5.78422,0.19609
Western Europe,5.76923,0.19735
Western Europe,5.75425,0.19949
Western Europe,5.73926,0.20297
Western Europe,5.72428,0.20687
Western Europe,5.70929,0.21044
Western Europe,5.69431,0.21311
Western Europe,5.67932,0.21569
Western Europe,5.66434,0.21863
Western Europe,5.64935,0.22058
Western Europe,5.63437,0.22121
Western Europe,5.61938,0.22131
Western Europe,5.6044,0.22141
Western Europe,5.58941,0.22204
Western Europe,5.57443,0.22399
Western Europe,5.55944,0.22684
Western Europe,5.54446,0.22888
Western Europe,5.52947,0.23013
Western Europe,5.51449,0.23218
Western Europe,5.4995,0.23503
Western Europe,5.48452,0.23697
Western Europe,5.46953,0.2375
Western Europe,5.45455,0.23697
Western Europe,5.43956,0.23503
Western Europe,5.42458,0.23218
Western Europe,5.40959,0.23024
Western Europe,5.39461,0.22961
Western Europe,5.37962,0.22952
Western Europe,5.36464,0.22951
Western Europe,5.34965,0.22951
Western Europe,5.33467,0.22951
Western Europe,5.31968,0.2295
Western Europe,5.3047,0.22941
Western Europe,5.28971,0.22878
Western Europe,5.27473,0.22683
Western Europe,5.25974,0.22398
Western Europe,5.24476,0.22194
Western Europe,5.22977,0.22068
Western Europe,5.21479,0.21864
Western Europe,5.1998,0.21578
Western Europe,5.18482,0.21374
Western Europe,5.16983,0.21249
Western Europe,5.15485,0.21045
Western Europe,5.13986,0.20759
Western Europe,5.12488,0.20564
Western Europe,5.10989,0.20492
Western Europe,5.09491,0.20419
Western Europe,5.07992,0.20214
Western Europe,5.06494,0.19867
Western Europe,5.04995,0.19477
Western Europe,5.03497,0.1912
Western Europe,5.01998,0.18853
Western Europe,5.005,0.18594
Western Europe,4.99001,0.18291
Western Europe,4.97502,0.18033
Western Europe,4.96004,0.17775
Western Europe,4.94505,0.17471
Western Europe,4.93007,0.17212
Western Europe,4.91508,0.16945
