study,group,x,y
HMP_2019_ibdmdb,IBD,0.15695839311334286,0.35877570540411285
HMP_2019_ibdmdb,IBD,0.27729831144465295,0.3474671669793621
HMP_2019_ibdmdb,IBD,0.3155772357723578,0.2509918699186992
HMP_2019_ibdmdb,IBD,0.2533681765389082,0.23635307781649242
HMP_2019_ibdmdb,IBD,0.0296864111498258,0.23177700348432057
HMP_2019_ibdmdb,IBD,0.3290650406504065,0.21510840108401086
HMP_2019_ibdmdb,IBD,0.35609756097560974,0.20943622550979607
HMP_2019_ibdmdb,IBD,0.1987353206865402,0.20704607046070458
HMP_2019_ibdmdb,IBD,0.1685249709639954,0.19849012775842043
HMP_2019_ibdmdb,IBD,0.2523373983739837,0.16941056910569105
HMP_2019_ibdmdb,IBD,0.29471544715447157,0.1434959349593496
HMP_2019_ibdmdb,IBD,0.36468292682926823,0.10100813008130081
HMP_2019_ibdmdb,IBD,0.38604336043360427,0.10189701897018973
HMP_2019_ibdmdb,IBD,0.024053826745164018,0.06403139893467896
HMP_2019_ibdmdb,IBD,0.27024390243902446,0.06601626016260166
HMP_2019_ibdmdb,IBD,0.21477194432961277,0.04795369987598184
HMP_2019_ibdmdb,IBD,0.05021888680425261,0.018261413383364594
HMP_2019_ibdmdb,IBD,0.37372357723577243,0.016130081300813035
HMP_2019_ibdmdb,IBD,0.11512195121951221,-0.015284552845528418
HMP_2019_ibdmdb,IBD,0.0102077687443541,-0.03261065943992771
HMP_2019_ibdmdb,IBD,0.4346544715447154,-0.03160569105691057
HMP_2019_ibdmdb,IBD,0.22080344332855095,-0.04806312769010044
HMP_2019_ibdmdb,IBD,0.3630393996247654,-0.05303314571607259
HMP_2019_ibdmdb,IBD,0.07008130081300817,-0.053983739837398355
HMP_2019_ibdmdb,IBD,0.19550454328072694,-0.05595408895265427
HMP_2019_ibdmdb,IBD,0.3934959349593496,-0.056910569105691054
HMP_2019_ibdmdb,IBD,-0.08536585365853659,-0.06097560975609756
HMP_2019_ibdmdb,IBD,0.2550813008130081,-0.06727642276422764
HMP_2019_ibdmdb,IBD,0.02505081300813008,-0.07550813008130082
HMP_2019_ibdmdb,IBD,0.3951926475786498,-0.08009897490279248
HMP_2019_ibdmdb,IBD,0.21070460704607044,-0.10189701897018973
HMP_2019_ibdmdb,IBD,0.03076923076923074,-0.10969355847404627
HMP_2019_ibdmdb,IBD,0.41750677506775064,-0.12856368563685647
HMP_2019_ibdmdb,IBD,0.17119628339140533,-0.13031358885017416
HMP_2019_ibdmdb,IBD,0.482801751094434,-0.12858036272670423
HMP_2019_ibdmdb,IBD,0.12780487804878052,-0.14178861788617894
HMP_2019_ibdmdb,IBD,0.009485094850948478,-0.14254742547425467
HMP_2019_ibdmdb,IBD,0.1229076996652319,-0.15542802486848403
HMP_2019_ibdmdb,IBD,-0.015284552845528418,-0.15501355013550142
HMP_2019_ibdmdb,IBD,0.04405729771583427,-0.15996902826171122
HMP_2019_ibdmdb,IBD,0.22414387780241443,-0.16092633653609267
HMP_2019_ibdmdb,IBD,0.3803523035230352,-0.1647244805781391
HMP_2019_ibdmdb,IBD,0.07947967479674796,-0.17079674796747962
HMP_2019_ibdmdb,IBD,0.0330623306233062,-0.17127371273712744
HMP_2019_ibdmdb,IBD,0.11300813008130081,-0.17804878048780487
HMP_2019_ibdmdb,IBD,0.33509118874972527,-0.19129861568885959
HMP_2019_ibdmdb,IBD,-0.048530331457160764,-0.19099437148217635
HMP_2019_ibdmdb,IBD,0.10635473701675796,-0.19804214368674306
HMP_2019_ibdmdb,IBD,0.05788617886178866,-0.2048780487804878
HMP_2019_ibdmdb,IBD,0.28142276422764234,-0.20808943089430898
HMP_2019_ibdmdb,IBD,0.3717615176151761,-0.215609756097561
HMP_2019_ibdmdb,IBD,0.20599058622165167,-0.21959777492511773
HMP_2019_ibdmdb,IBD,0.44276422764227635,-0.22471544715447161
HMP_2019_ibdmdb,IBD,0.14796747967479676,-0.23008130081300812
HMP_2019_ibdmdb,IBD,0.03855981416957028,-0.23592721641502126
HMP_2019_ibdmdb,IBD,0.1340301974448316,-0.2459930313588851
HMP_2019_ibdmdb,IBD,0.37420054200542,-0.2502981029810297
HMP_2019_ibdmdb,IBD,0.41544715447154473,-0.2579453067257945
HMP_2019_ibdmdb,IBD,0.2700665188470067,-0.2770140428677014
HMP_2019_ibdmdb,IBD,0.32140921409214085,-0.283739837398374
HMP_2019_ibdmdb,IBD,0.06850249147652766,-0.28885392079727246
HMP_2019_ibdmdb,IBD,0.18595713229859573,-0.28603104212860303
HMP_2019_ibdmdb,IBD,0.23197831978319786,-0.31111111111111117
LifeLD_VilaAV_2018,IBD,0.3288617886178862,0.4926829268292683
