id,group,title,source
088,sample-lda6,T6 · Topic 6 Word Cloud,OPC-coverage-figures-20260908/lda6/en/topic/topic_6/Topic 6 Word Cloud.png
089,sample-lda6,T6 · Topic 6 Word Distribution,OPC-coverage-figures-20260908/lda6/en/topic/topic_6/Topic 6 Word Distribution.png
090,sample-lda6,T6 · Topic Evolution,OPC-coverage-figures-20260908/lda6/en/topic/topic_6/Topic Evolution.png
091,sample-dtm6,7 Core Metrics,OPC-coverage-figures-20260908/dtm/en/global/7 Core Metrics.png
092,sample-dtm6,Dimension-Topic Heatmap,OPC-coverage-figures-20260908/dtm/en/global/Dimension-Topic Heatmap.png
093,sample-dtm6,Document Clustering by Dominant Topic,OPC-coverage-figures-20260908/dtm/en/global/Document Clustering by Dominant Topic.png
094,sample-dtm6,Document Clusters with Outlier Detection,OPC-coverage-figures-20260908/dtm/en/global/Document Clusters with Outlier Detection.png
095,sample-dtm6,Document Volume Over Time,OPC-coverage-figures-20260908/dtm/en/global/Document Volume Over Time.png
096,sample-dtm6,Domain Topic Distribution Over Time,OPC-coverage-figures-20260908/dtm/en/global/Domain Topic Distribution Over Time.png
097,sample-dtm6,High-Frequency Word Evolution,OPC-coverage-figures-20260908/dtm/en/global/High-Frequency Word Evolution.png
098,sample-dtm6,Reconstruction and KL Loss,OPC-coverage-figures-20260908/dtm/en/global/Reconstruction and KL Loss.png
099,sample-dtm6,Representative Topic Evolution,OPC-coverage-figures-20260908/dtm/en/global/Representative Topic Evolution.png
100,sample-dtm6,Topic Clustering Heatmap with Dendrogram,OPC-coverage-figures-20260908/dtm/en/global/Topic Clustering Heatmap with Dendrogram.png
101,sample-dtm6,Topic Correlation Network,OPC-coverage-figures-20260908/dtm/en/global/Topic Correlation Network.png
102,sample-dtm6,Topic Distribution KL Divergence Over Time,OPC-coverage-figures-20260908/dtm/en/global/Topic Distribution KL Divergence Over Time.png
103,sample-dtm6,Topic Distribution Similarity Evolution,OPC-coverage-figures-20260908/dtm/en/global/Topic Distribution Similarity Evolution.png
104,sample-dtm6,Topic Proportion Distribution,OPC-coverage-figures-20260908/dtm/en/global/Topic Proportion Distribution.png
105,sample-dtm6,Topic Strength by Year,OPC-coverage-figures-20260908/dtm/en/global/Topic Strength by Year.png
106,sample-dtm6,Training Loss,OPC-coverage-figures-20260908/dtm/en/global/Training Loss.png
107,sample-dtm6,Training Perplexity,OPC-coverage-figures-20260908/dtm/en/global/Training Perplexity.png
108,sample-dtm6,doc_topic_umap,OPC-coverage-figures-20260908/dtm/en/global/doc_topic_umap.png
109,sample-dtm6,Source-to-topic Sankey,OPC-coverage-figures-20260908/dtm/en/global/source_topic_sankey.png
110,sample-dtm6,Circular correlation network,OPC-coverage-figures-20260908/dtm/en/global/topic_network_circular.png
111,sample-dtm6,topic_similarity,OPC-coverage-figures-20260908/dtm/en/global/topic_similarity.png
112,sample-dtm6,topic_table_1,OPC-coverage-figures-20260908/dtm/en/global/topic_table_1.png
113,sample-dtm6,Temporal word-weight trajectories,OPC-coverage-figures-20260908/dtm/en/global/topic_word_evolution.png
114,sample-dtm6,Word-cloud grid 1,OPC-coverage-figures-20260908/dtm/en/global/topic_wordcloud_grid_1.png
115,sample-dtm6,Year-to-topic Sankey,OPC-coverage-figures-20260908/dtm/en/global/year_topic_sankey.png
116,sample-dtm6,T1 · Topic 1 Word Cloud,OPC-coverage-figures-20260908/dtm/en/topic/topic_1/Topic 1 Word Cloud.png
117,sample-dtm6,T1 · Topic 1 Word Distribution,OPC-coverage-figures-20260908/dtm/en/topic/topic_1/Topic 1 Word Distribution.png
118,sample-dtm6,T1 · Topic Evolution,OPC-coverage-figures-20260908/dtm/en/topic/topic_1/Topic Evolution.png
119,sample-dtm6,T1 · Time-specific word probabilities,OPC-coverage-figures-20260908/dtm/en/topic/topic_1/word_distribution_by_time.png
120,sample-dtm6,T2 · Topic 2 Word Cloud,OPC-coverage-figures-20260908/dtm/en/topic/topic_2/Topic 2 Word Cloud.png
121,sample-dtm6,T2 · Topic 2 Word Distribution,OPC-coverage-figures-20260908/dtm/en/topic/topic_2/Topic 2 Word Distribution.png
122,sample-dtm6,T2 · Topic Evolution,OPC-coverage-figures-20260908/dtm/en/topic/topic_2/Topic Evolution.png
123,sample-dtm6,T2 · Time-specific word probabilities,OPC-coverage-figures-20260908/dtm/en/topic/topic_2/word_distribution_by_time.png
124,sample-dtm6,T3 · Topic 3 Word Cloud,OPC-coverage-figures-20260908/dtm/en/topic/topic_3/Topic 3 Word Cloud.png
125,sample-dtm6,T3 · Topic 3 Word Distribution,OPC-coverage-figures-20260908/dtm/en/topic/topic_3/Topic 3 Word Distribution.png
126,sample-dtm6,T3 · Topic Evolution,OPC-coverage-figures-20260908/dtm/en/topic/topic_3/Topic Evolution.png
127,sample-dtm6,T3 · Time-specific word probabilities,OPC-coverage-figures-20260908/dtm/en/topic/topic_3/word_distribution_by_time.png
128,sample-dtm6,T4 · Topic 4 Word Cloud,OPC-coverage-figures-20260908/dtm/en/topic/topic_4/Topic 4 Word Cloud.png
129,sample-dtm6,T4 · Topic 4 Word Distribution,OPC-coverage-figures-20260908/dtm/en/topic/topic_4/Topic 4 Word Distribution.png
130,sample-dtm6,T4 · Topic Evolution,OPC-coverage-figures-20260908/dtm/en/topic/topic_4/Topic Evolution.png
131,sample-dtm6,T4 · Time-specific word probabilities,OPC-coverage-figures-20260908/dtm/en/topic/topic_4/word_distribution_by_time.png
132,sample-dtm6,T5 · Topic 5 Word Cloud,OPC-coverage-figures-20260908/dtm/en/topic/topic_5/Topic 5 Word Cloud.png
133,sample-dtm6,T5 · Topic 5 Word Distribution,OPC-coverage-figures-20260908/dtm/en/topic/topic_5/Topic 5 Word Distribution.png
134,sample-dtm6,T5 · Topic Evolution,OPC-coverage-figures-20260908/dtm/en/topic/topic_5/Topic Evolution.png
135,sample-dtm6,T5 · Time-specific word probabilities,OPC-coverage-figures-20260908/dtm/en/topic/topic_5/word_distribution_by_time.png
136,sample-dtm6,T6 · Topic 6 Word Cloud,OPC-coverage-figures-20260908/dtm/en/topic/topic_6/Topic 6 Word Cloud.png
137,sample-dtm6,T6 · Topic 6 Word Distribution,OPC-coverage-figures-20260908/dtm/en/topic/topic_6/Topic 6 Word Distribution.png
138,sample-dtm6,T6 · Topic Evolution,OPC-coverage-figures-20260908/dtm/en/topic/topic_6/Topic Evolution.png
139,sample-dtm6,T6 · Time-specific word probabilities,OPC-coverage-figures-20260908/dtm/en/topic/topic_6/word_distribution_by_time.png
140,sample-stm6,7 Core Metrics,OPC-coverage-figures-20260908/stm/en/global/7 Core Metrics.png
141,sample-stm6,Dimension-Topic Heatmap,OPC-coverage-figures-20260908/stm/en/global/Dimension-Topic Heatmap.png
142,sample-stm6,Document Clustering by Dominant Topic,OPC-coverage-figures-20260908/stm/en/global/Document Clustering by Dominant Topic.png
143,sample-stm6,Document Clusters with Outlier Detection,OPC-coverage-figures-20260908/stm/en/global/Document Clusters with Outlier Detection.png
144,sample-stm6,Document Volume Over Time,OPC-coverage-figures-20260908/stm/en/global/Document Volume Over Time.png
145,sample-stm6,Domain Topic Distribution Over Time,OPC-coverage-figures-20260908/stm/en/global/Domain Topic Distribution Over Time.png
146,sample-stm6,High-Frequency Word Evolution,OPC-coverage-figures-20260908/stm/en/global/High-Frequency Word Evolution.png
147,sample-stm6,Intertopic Distance Map,OPC-coverage-figures-20260908/stm/en/global/Intertopic Distance Map.png
148,sample-stm6,Representative Topic Evolution,OPC-coverage-figures-20260908/stm/en/global/Representative Topic Evolution.png
149,sample-stm6,Top Salient Terms,OPC-coverage-figures-20260908/stm/en/global/Top Salient Terms.png
150,sample-stm6,Topic Clustering Heatmap with Dendrogram,OPC-coverage-figures-20260908/stm/en/global/Topic Clustering Heatmap with Dendrogram.png
151,sample-stm6,Topic Correlation Network,OPC-coverage-figures-20260908/stm/en/global/Topic Correlation Network.png
